('Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         811495 function calls (787257 primitive calls) in 3.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      339    0.001    0.000    1.984    0.006 socket.py:693(readinto)
      134    0.001    0.000    0.003    0.000 typing.py:1242(__init__)
     5094    0.001    0.000    0.001    0.000 element.py:2227(__bool__)
     1679    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      358    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
     3073    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
     1454    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1005    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
  193/189    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      498    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      258    0.000    0.000    0.192    0.001 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      128    0.000    0.000    0.003    0.000 _markupbase.py:165(parse_comment)
      190    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
       75    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       87    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
       20    0.000    0.000    0.022    0.001 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      928    0.000    0.000    0.001    0.000 typing.py:1134(_is_dunder)
      260    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
  142/137    0.000    0.000    0.004    0.000 css_parser.py:395(freeze)
      499    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      412    0.000    0.000    0.001    0.000 _parser.py:265(getwhile)
      492    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      166    0.000    0.000    0.135    0.001 <frozen importlib._bootstrap_external>:1202(path_stats)
       62    0.000    0.000    0.004    0.000 typing.py:687(Union)
      190    0.000    0.000    0.054    0.000 _compiler.py:573(_code)
      175    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      216    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
  758/701    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  212/176    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      499    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
  167/164    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.000    0.000 functools.py:774(_find_impl)
