         362014 function calls (362008 primitive calls) in 5.541 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 element.py:1214(parents)
        2    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        2    0.155    0.077    0.155    0.077 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:311(deprecated_argument)
        2    0.000    0.000    0.155    0.078 ssl.py:449(wrap_socket)
        2    0.000    0.000    0.000    0.000 ssl.py:1087(_check_connected)
        2    0.000    0.000    0.009    0.005 element.py:2723(find_all)
        2    0.000    0.000    0.000    0.000 __init__.py:282(reset)
        2    0.000    0.000    0.000    0.000 client.py:425(_close_conn)
        2    0.000    0.000    0.000    0.000 client.py:1013(close)
        2    0.000    0.000    0.000    0.000 feedparser.py:69(close)
        2    0.000    0.000    0.315    0.158 client.py:1333(request)
        2    0.000    0.000    0.000    0.000 socket.py:496(_real_close)
        2    0.000    0.000    0.000    0.000 socket.py:506(detach)
        2    0.000    0.000    0.000    0.000 socket.py:516(family)
        2    0.000    0.000    0.000    0.000 socket.py:522(type)
        2    0.000    0.000    0.000    0.000 socket.py:490(_decref_socketios)
        2    0.000    0.000    0.000    0.000 ssl.py:441(_encode_hostname)
        2    0.000    0.000    0.000    0.000 parse.py:1095(_splittype)
        2    0.000    0.000    0.000    0.000 parse.py:1116(_splithost)
        2    0.000    0.000    0.000    0.000 socket.py:681(__init__)
        2    0.000    0.000    0.000    0.000 parse.py:536(urlunsplit)
        2    0.000    0.000    0.000    0.000 parse.py:688(unquote)
        2    0.000    0.000    0.000    0.000 parse.py:525(urlunparse)
        2    0.000    0.000    0.000    0.000 socket.py:770(close)
        2    0.000    0.000    0.155    0.077 ssl.py:1313(do_handshake)
        2    0.000    0.000    0.000    0.000 parse.py:1226(_splittag)
        2    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
        2    0.000    0.000    0.000    0.000 ssl.py:1173(send)
        2    0.000    0.000    0.000    0.000 request.py:383(get_full_url)
        2    0.000    0.000    0.000    0.000 request.py:356(data)
        2    0.000    0.000    0.000    0.000 client.py:1267(_validate_method)
      2/1    0.000    0.000    1.002    1.002 request.py:624(http_response)
        2    0.000    0.000    0.000    0.000 client.py:430(close)
        2    0.000    0.000    0.115    0.057 client.py:245(parse_headers)
        2    0.000    0.000    0.000    0.000 client.py:1263(_encode_request)
        2    0.000    0.000    0.000    0.000 feedparser.py:52(__init__)
        2    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
        2    0.000    0.000    0.000    0.000 client.py:1276(_validate_path)
        2    0.000    0.000    0.000    0.000 client.py:1284(_validate_host)
        2    0.000    0.000    0.315    0.157 client.py:1320(endheaders)
        2    0.000    0.000    0.000    0.000 client.py:1457(__init__)
        2    0.000    0.000    0.315    0.157 client.py:1467(connect)
        2    0.000    0.000    0.000    0.000 client.py:761(info)
        2    0.000    0.000    0.000    0.000 client.py:944(set_debuglevel)
        2    0.000    0.000    0.000    0.000 parser.py:17(__init__)
        2    0.000    0.000    0.000    0.000 request.py:370(_parse)
        2    0.000    0.000    0.000    0.000 client.py:261(__init__)
        2    0.000    0.000    0.000    0.000 request.py:394(has_proxy)
        2    0.000    0.000    0.000    0.000 request.py:397(add_header)
        2    0.000    0.000    0.000    0.000 request.py:401(add_unredirected_header)
        2    0.000    0.000    0.000    0.000 client.py:833(_get_content_length)
        2    0.000    0.000    0.001    0.001 client.py:231(_parse_header_lines)
        2    0.000    0.000    0.000    0.000 request.py:339(full_url)
        2    0.000    0.000    3.481    1.741 client.py:633(_safe_read)
        2    0.000    0.000    0.000    0.000 feedparser.py:208(_pop_message)
        2    0.000    0.000    0.003    0.001 socket.py:946(getaddrinfo)
        2    0.000    0.000    0.000    0.000 parse.py:1074(unwrap)
        2    0.000    0.000    0.000    0.000 message.py:331(set_payload)
        2    0.000    0.000    0.000    0.000 request.py:315(__init__)
        2    0.000    0.000    0.001    0.001 parser.py:41(parse)
        2    0.000    0.000    1.460    0.730 request.py:1391(https_open)
        2    0.000    0.000    0.000    0.000 client.py:442(flush)
        2    0.000    0.000    1.460    0.730 request.py:525(_open)
        2    0.000    0.000    0.113    0.057 client.py:213(_read_headers)
        1    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 request.py:649(redirect_request)
        1    0.000    0.000    1.461    1.461 request.py:138(urlopen)
        1    0.000    0.000    5.541    5.541 financial_enhanced.py:10(get_financial_data)
        1    0.000    0.000    1.002    1.002 request.py:687(http_error_302)
        1    0.000    0.000    0.000    0.000 parse.py:555(urljoin)
        1    0.000    0.000    0.000    0.000 parse.py:947(quote_from_bytes)
        1    0.000    0.000    0.585    0.585 __init__.py:650(_feed)
        1    0.000    0.000    0.585    0.585 __init__.py:209(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:204(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:108(lookup)
        1    0.000    0.000    0.000    0.000 parser.py:256(parse_html_declaration)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:294(handle_decl)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:377(prepare_markup)
        1    0.000    0.000    0.585    0.585 parser.py:104(feed)
        1    0.000    0.000    0.000    0.000 parser.py:96(reset)
        1    0.000    0.000    0.000    0.000 _markupbase.py:32(reset)
        1    0.000    0.000    0.585    0.585 _htmlparser.py:449(feed)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:347(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:86(__init__)
        1    0.000    0.000    0.000    0.000 _markupbase.py:27(__init__)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:84(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:791(_root_tag_encountered)
        1    0.000    0.000    0.000    0.000 element.py:1022(find_parents)
        1    0.000    0.000    0.000    0.000 element.py:200(__new__)
        1    0.000    0.000    0.000    0.000 parser.py:113(close)
        1    0.000    0.000    0.000    0.000 element.py:2231(__setitem__)
        1    0.000    0.000    0.000    0.000 element.py:992(find_parent)
        1    0.000    0.000    0.009    0.009 element.py:2692(find)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:765(_initialize_xml_detector)
        1    0.000    0.000    0.000    0.000 message.py:451(__contains__)
        1    0.000    0.000    0.000    0.000 message.py:410(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:274(initialize_soup)
        1    0.000    0.000    0.000    0.000 parse.py:871(quote)
        1    0.000    0.000    0.000    0.000 __init__.py:666(reset)
        1    0.000    0.000    0.000    0.000 __init__.py:669(update)
        1    0.000    0.000    1.002    1.002 request.py:540(error)
        1    0.000    0.000    0.000    0.000 __init__.py:595(__init__)
        1    0.000    0.000    0.000    0.000 request.py:297(request_host)


